date,sector,index,price,chg_1d,chg_5d,rs,score,rank
2026-07-29,Infra,NIFTY INFRA,9316.1,0.67,0.0,0.0,0.0,9
2026-07-29,Media,NIFTY MEDIA,1580.85,1.43,0.0,0.0,0.0,10
2026-07-30,IT,NIFTY IT,31123.1,2.32,0.0,0.0,0.0,1
2026-07-30,Banking,NIFTY BANK,57205.9,0.79,0.0,0.0,0.0,2
2026-07-30,FMCG,NIFTY FMCG,49690.65,1.66,0.0,0.0,0.0,3
2026-07-30,Auto,NIFTY AUTO,27825.95,-0.06,0.0,0.0,0.0,4
2026-07-30,Pharma,NIFTY PHARMA,26373.35,1.44,0.0,0.0,0.0,5
2026-07-30,Metal,NIFTY METAL,12686.8,2.31,0.0,0.0,0.0,6
2026-07-30,Energy,NIFTY ENERGY,38180.55,0.02,0.0,0.0,0.0,7
2026-07-30,Realty,NIFTY REALTY,918.45,-0.33,0.0,0.0,0.0,8
2026-07-30,Infra,NIFTY INFRA,9316.1,0.67,0.0,0.0,0.0,9
2026-07-30,Media,NIFTY MEDIA,1580.85,1.43,0.0,0.0,0.0,10
2026-08-05,IT,NIFTY IT,31404.05,-0.16,0.0,0.0,0.0,1
2026-08-05,Banking,NIFTY BANK,57739.95,-0.29,0.0,0.0,0.0,2
2026-08-05,FMCG,NIFTY FMCG,49383.5,-0.29,0.0,0.0,0.0,3
2026-08-05,Auto,NIFTY AUTO,29411.55,1.27,0.0,0.0,0.0,4
2026-08-05,Pharma,NIFTY PHARMA,26563.55,-0.13,0.0,0.0,0.0,5
2026-08-05,Metal,NIFTY METAL,13256.35,1.72,0.0,0.0,0.0,6
2026-08-05,Energy,NIFTY ENERGY,38830.05,0.03,0.0,0.0,0.0,7
2026-08-05,Realty,NIFTY REALTY,898.7,0.84,0.0,0.0,0.0,8
2026-08-05,Infra,NIFTY INFRA,9452.75,0.35,0.0,0.0,0.0,9
2026-08-05,Media,NIFTY MEDIA,1575.15,-1.58,0.0,0.0,0.0,10
