token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty
1153936,JUBLFOOD26JUL430CE,JUBLFOOD,30JUL2026,43000.000000,1250,OPTSTK,BFO,5.000000,50000
1153940,YESBANK26JUN28PE,YESBANK,25JUN2026,2800.000000,31100,OPTSTK,BFO,5.000000,100000000
1154014,INDHOTEL26JUL685PE,INDHOTEL,30JUL2026,68500.000000,1000,OPTSTK,BFO,5.000000,60000
1154038,ADANIPOWER26JUN247.5CE,ADANIPOWER,25JUN2026,24750.000000,3550,OPTSTK,BFO,5.000000,100000000
1123204,BDL26JUN1360PE,BDL,25JUN2026,136000.000000,350,OPTSTK,BFO,5.000000,100000000
1123227,PERSISTENT26JUN5650CE,PERSISTENT,25JUN2026,565000.000000,100,OPTSTK,BFO,5.000000,5250
1123232,NYKAA26JUN267.5PE,NYKAA,25JUN2026,26750.000000,3125,OPTSTK,BFO,5.000000,100000000
1123273,BEL26JUN460PE,BEL,25JUN2026,46000.000000,1425,OPTSTK,BFO,5.000000,228000
1139708,HINDUNILVR26JUL2220PE,HINDUNILVR,30JUL2026,222000.000000,300,OPTSTK,BFO,5.000000,9000
1139719,ADANIENSOL26JUL1240CE,ADANIENSOL,30JUL2026,124000.000000,675,OPTSTK,BFO,5.000000,100000000
1139747,MARUTI26JUL12600PE,MARUTI,30JUL2026,1260000.000000,50,OPTSTK,BFO,5.000000,3000
1139749,MOTILALOFS26JUL870PE,MOTILALOFS,30JUL2026,87000.000000,775,OPTSTK,BFO,5.000000,100000000
1149853,ALKEM26JUL5500PE,ALKEM,30JUL2026,550000.000000,125,OPTSTK,BFO,5.000000,8000
1149854,MOTHERSON26JUL126CE,MOTHERSON,30JUL2026,12600.000000,6150,OPTSTK,BFO,5.000000,284000
1149878,MAXHEALTH26JUL1040CE,MAXHEALTH,30JUL2026,104000.000000,525,OPTSTK,BFO,5.000000,100000000
1149895,SENSEX26JUL74800PE,SENSEX,30JUL2026,7480000.000000,20,OPTIDX,BFO,5.000000,1000
1123274,IEX26JUN133CE,IEX,25JUN2026,13300.000000,3750,OPTSTK,BFO,5.000000,150000
1123283,TITAN26JUN4500CE,TITAN,25JUN2026,450000.000000,175,OPTSTK,BFO,5.000000,11250
1123288,ADANIGREEN26JUN960PE,ADANIGREEN,25JUN2026,96000.000000,600,OPTSTK,BFO,5.000000,100000000
1123296,BOSCHLTD26JUN35000PE,BOSCHLTD,25JUN2026,3500000.000000,25,OPTSTK,BFO,5.000000,1500
1139756,NAM-INDIA26JUL1020PE,NAM-INDIA,30JUL2026,102000.000000,625,OPTSTK,BFO,5.000000,100000000
1139761,BANKINDIA26JUL140.35CE,BANKINDIA,30JUL2026,14035.000000,5200,OPTSTK,BFO,5.000000,100000000
1139780,MFSL26JUL1440CE,MFSL,30JUL2026,144000.000000,400,OPTSTK,BFO,5.000000,32000
1139819,BANKEX26JUL66200PE,BANKEX,30JUL2026,6620000.000000,30,OPTIDX,BFO,5.000000,900
1154047,UNOMINDA26JUL940CE,UNOMINDA,30JUL2026,94000.000000,550,OPTSTK,BFO,5.000000,100000000
1154054,PETRONET26JUL300PE,PETRONET,30JUL2026,30000.000000,1900,OPTSTK,BFO,5.000000,120000
1154065,BAJAJHLDNG26JUN11200CE,BAJAJHLDNG,25JUN2026,1120000.000000,50,OPTSTK,BFO,5.000000,100000000
1154072,DABUR26JUL495PE,DABUR,30JUL2026,49500.000000,1250,OPTSTK,BFO,5.000000,50000
1123298,COALINDIA26JUN490CE,COALINDIA,25JUN2026,49000.000000,1350,OPTSTK,BFO,5.000000,126000
1123311,AXISBANK26JUN1310CE,AXISBANK,25JUN2026,131000.000000,625,OPTSTK,BFO,5.000000,25000
1123361,NYKAA26JUN265PE,NYKAA,25JUN2026,26500.000000,3125,OPTSTK,BFO,5.000000,100000000
1123393,UPL26JUN645CE,UPL,25JUN2026,64500.000000,1355,OPTSTK,BFO,5.000000,39000
1139837,SENSEX26JUL76200CE,SENSEX,30JUL2026,7620000.000000,20,OPTIDX,BFO,5.000000,1000
1139889,TATASTEEL26JUL227.5PE,TATASTEEL,30JUL2026,22750.000000,2750,OPTSTK,BFO,5.000000,220000
1139892,INDIANB26JUL890CE,INDIANB,30JUL2026,89000.000000,1000,OPTSTK,BFO,5.000000,100000000
1139895,BANKEX26JUL62500PE,BANKEX,30JUL2026,6250000.000000,30,OPTIDX,BFO,5.000000,900
1149901,INFY26JUL1160CE,INFY,30JUL2026,116000.000000,400,OPTSTK,BFO,5.000000,16000
1149911,HAVELLS26JUL1240CE,HAVELLS,30JUL2026,124000.000000,500,OPTSTK,BFO,5.000000,20000
1149913,SHREECEM26JUL25000CE,SHREECEM,30JUL2026,2500000.000000,25,OPTSTK,BFO,5.000000,1000
1149944,NTPC26JUL407.5PE,NTPC,30JUL2026,40750.000000,1500,OPTSTK,BFO,5.000000,150000
1154097,COALINDIA26JUL440PE,COALINDIA,30JUL2026,44000.000000,1350,OPTSTK,BFO,5.000000,126000
1154098,MPHASIS26JUL2080PE,MPHASIS,30JUL2026,208000.000000,275,OPTSTK,BFO,5.000000,11000
1154114,NTPC26JUL380CE,NTPC,30JUL2026,38000.000000,1500,OPTSTK,BFO,5.000000,150000
1154155,SOLARINDS26JUL17500PE,SOLARINDS,30JUL2026,1750000.000000,50,OPTSTK,BFO,5.000000,100000000
1123404,GAIL26JUN150CE,GAIL,25JUN2026,15000.000000,3150,OPTSTK,BFO,5.000000,274500
1123407,ASTRAL26JUN1380CE,ASTRAL,25JUN2026,138000.000000,425,OPTSTK,BFO,5.000000,14680
1123442,BOSCHLTD26JUN34250PE,BOSCHLTD,25JUN2026,3425000.000000,25,OPTSTK,BFO,5.000000,1500
1123474,ADANIENSOL26JUN1120CE,ADANIENSOL,25JUN2026,112000.000000,675,OPTSTK,BFO,5.000000,100000000
1139912,UPL26JUL615PE,UPL,30JUL2026,61500.000000,1355,OPTSTK,BFO,5.000000,39000
1139913,BANKBARODA26JUL257.5CE,BANKBARODA,30JUL2026,25750.000000,2925,OPTSTK,BFO,5.000000,175500
1139928,SENSEX2661875800PE,SENSEX,18JUN2026,7580000.000000,20,OPTIDX,BFO,5.000000,1000
