token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty
128747,NESTLEIND25AUG261480PE,NESTLEIND,25AUG2026,148000.000000,500,OPTSTK,NFO,5.000000,15001
128750,NESTLEIND25AUG261520CE,NESTLEIND,25AUG2026,152000.000000,500,OPTSTK,NFO,5.000000,15001
128809,NHPC28JUL2665PE,NHPC,28JUL2026,6500.000000,6950,OPTSTK,NFO,1.000000,278001
128814,NHPC28JUL2671CE,NHPC,28JUL2026,7100.000000,6950,OPTSTK,NFO,1.000000,278001
128997,PAGEIND30JUN2635750PE,PAGEIND,30JUN2026,3575000.000000,15,OPTSTK,NFO,5.000000,601
129057,NMDC28JUL2685CE,NMDC,28JUL2026,8500.000000,6750,OPTSTK,NFO,1.000000,270001
129061,NMDC28JUL2689CE,NMDC,28JUL2026,8900.000000,6750,OPTSTK,NFO,1.000000,270001
129139,PAGEIND30JUN2641250CE,PAGEIND,30JUN2026,4125000.000000,15,OPTSTK,NFO,5.000000,601
129165,NMDC25AUG2678PE,NMDC,25AUG2026,7800.000000,6750,OPTSTK,NFO,1.000000,270001
129229,NMDC25AUG2694PE,NMDC,25AUG2026,9400.000000,6750,OPTSTK,NFO,1.000000,270001
129231,NMDC25AUG2696PE,NMDC,25AUG2026,9600.000000,6750,OPTSTK,NFO,1.000000,270001
129235,NMDC25AUG2698PE,NMDC,25AUG2026,9800.000000,6750,OPTSTK,NFO,1.000000,270001
129240,NMDC25AUG26104CE,NMDC,25AUG2026,10400.000000,6750,OPTSTK,NFO,1.000000,270001
129257,INOXWIND30JUN2678CE,INOXWIND,30JUN2026,7800.000000,3575,OPTSTK,NFO,1.000000,256001
129278,INOXWIND30JUN2698PE,INOXWIND,30JUN2026,9800.000000,3575,OPTSTK,NFO,1.000000,256001
129283,INOXWIND30JUN26108CE,INOXWIND,30JUN2026,10800.000000,3575,OPTSTK,NFO,1.000000,256001
129363,NTPC28JUL26347.5PE,NTPC,28JUL2026,34750.000000,1500,OPTSTK,NFO,5.000000,60001
129364,NTPC28JUL26352.5CE,NTPC,28JUL2026,35250.000000,1500,OPTSTK,NFO,5.000000,60001
129458,PAGEIND28JUL2634500CE,PAGEIND,28JUL2026,3450000.000000,20,OPTSTK,NFO,5.000000,601
129459,PAGEIND28JUL2634500PE,PAGEIND,28JUL2026,3450000.000000,20,OPTSTK,NFO,5.000000,601
129468,PAGEIND28JUL2637000CE,PAGEIND,28JUL2026,3700000.000000,20,OPTSTK,NFO,5.000000,601
129471,PAGEIND28JUL2637500PE,PAGEIND,28JUL2026,3750000.000000,20,OPTSTK,NFO,5.000000,601
129478,PAGEIND28JUL2639000CE,PAGEIND,28JUL2026,3900000.000000,20,OPTSTK,NFO,5.000000,601
129486,PAGEIND28JUL2640500CE,PAGEIND,28JUL2026,4050000.000000,20,OPTSTK,NFO,5.000000,601
129488,PAGEIND28JUL2641000CE,PAGEIND,28JUL2026,4100000.000000,20,OPTSTK,NFO,5.000000,601
129519,NTPC28JUL26392.5CE,NTPC,28JUL2026,39250.000000,1500,OPTSTK,NFO,5.000000,60001
129562,NTPC28JUL26407.5PE,NTPC,28JUL2026,40750.000000,1500,OPTSTK,NFO,5.000000,60001
129566,NTPC28JUL26417.5PE,NTPC,28JUL2026,41750.000000,1500,OPTSTK,NFO,5.000000,60001
129600,PATANJALI30JUN26415PE,PATANJALI,30JUN2026,41500.000000,900,OPTSTK,NFO,5.000000,53751
129605,PATANJALI30JUN26445CE,PATANJALI,30JUN2026,44500.000000,900,OPTSTK,NFO,5.000000,53751
129610,PATANJALI30JUN26465PE,PATANJALI,30JUN2026,46500.000000,900,OPTSTK,NFO,5.000000,53751
129783,IOC30JUN26110PE,IOC,30JUN2026,11000.000000,4875,OPTSTK,NFO,1.000000,146251
129792,IOC30JUN26118CE,IOC,30JUN2026,11800.000000,4875,OPTSTK,NFO,1.000000,146251
129802,IOC30JUN26124CE,IOC,30JUN2026,12400.000000,4875,OPTSTK,NFO,1.000000,146251
129848,NTPC25AUG26320CE,NTPC,25AUG2026,32000.000000,1500,OPTSTK,NFO,5.000000,60001
129861,NTPC25AUG26350PE,NTPC,25AUG2026,35000.000000,1500,OPTSTK,NFO,5.000000,60001
129883,PATANJALI28JUL26500CE,PATANJALI,28JUL2026,50000.000000,1075,OPTSTK,NFO,5.000000,53751
129955,IOC30JUN26144PE,IOC,30JUN2026,14400.000000,4875,OPTSTK,NFO,1.000000,146251
129965,PAYTM30JUN261010PE,PAYTM,30JUN2026,101000.000000,725,OPTSTK,NFO,5.000000,21751
129969,PAYTM30JUN261050PE,PAYTM,30JUN2026,105000.000000,725,OPTSTK,NFO,5.000000,21751
130038,NTPC25AUG26375PE,NTPC,25AUG2026,37500.000000,1500,OPTSTK,NFO,5.000000,60001
130109,PAYTM28JUL26940PE,PAYTM,28JUL2026,94000.000000,725,OPTSTK,NFO,5.000000,21751
130113,PAYTM28JUL26980PE,PAYTM,28JUL2026,98000.000000,725,OPTSTK,NFO,5.000000,21751
130117,IOC30JUN26158PE,IOC,30JUN2026,15800.000000,4875,OPTSTK,NFO,1.000000,146251
130124,IOC30JUN26166CE,IOC,30JUN2026,16600.000000,4875,OPTSTK,NFO,1.000000,146251
130142,NTPC25AUG26425PE,NTPC,25AUG2026,42500.000000,1500,OPTSTK,NFO,5.000000,60001
130211,NUVAMA28JUL261420CE,NUVAMA,28JUL2026,142000.000000,500,OPTSTK,NFO,5.000000,15001
130220,NUVAMA28JUL261460CE,NUVAMA,28JUL2026,146000.000000,500,OPTSTK,NFO,5.000000,15001
130230,PAYTM28JUL261140PE,PAYTM,28JUL2026,114000.000000,725,OPTSTK,NFO,5.000000,21751
130244,NUVAMA28JUL261620PE,NUVAMA,28JUL2026,162000.000000,500,OPTSTK,NFO,5.000000,15001
130257,PAYTM28JUL261280CE,PAYTM,28JUL2026,128000.000000,725,OPTSTK,NFO,5.000000,21751
130363,PERSISTENT30JUN264750CE,PERSISTENT,30JUN2026,475000.000000,100,OPTSTK,NFO,5.000000,5001
130365,PERSISTENT30JUN264850CE,PERSISTENT,30JUN2026,485000.000000,100,OPTSTK,NFO,5.000000,5001
130368,PERSISTENT30JUN264950PE,PERSISTENT,30JUN2026,495000.000000,100,OPTSTK,NFO,5.000000,5001
130389,PERSISTENT30JUN265950CE,PERSISTENT,30JUN2026,595000.000000,100,OPTSTK,NFO,5.000000,5001
130395,PERSISTENT30JUN266150PE,PERSISTENT,30JUN2026,615000.000000,100,OPTSTK,NFO,5.000000,5001
130421,NYKAA28JUL26247.5CE,NYKAA,28JUL2026,24750.000000,3125,OPTSTK,NFO,5.000000,93751
130466,NYKAA28JUL26257.5CE,NYKAA,28JUL2026,25750.000000,3125,OPTSTK,NFO,5.000000,93751
130475,NYKAA28JUL26277.5PE,NYKAA,28JUL2026,27750.000000,3125,OPTSTK,NFO,5.000000,93751
130490,PERSISTENT28JUL263900PE,PERSISTENT,28JUL2026,390000.000000,125,OPTSTK,NFO,5.000000,5001
130565,IREDA30JUN26110CE,IREDA,30JUN2026,11000.000000,3450,OPTSTK,NFO,1.000000,181001
130569,IREDA30JUN26114CE,IREDA,30JUN2026,11400.000000,3450,OPTSTK,NFO,1.000000,181001
130574,IREDA30JUN26118PE,IREDA,30JUN2026,11800.000000,3450,OPTSTK,NFO,1.000000,181001
130575,IREDA30JUN26120CE,IREDA,30JUN2026,12000.000000,3450,OPTSTK,NFO,1.000000,181001
130586,IREDA30JUN26130PE,IREDA,30JUN2026,13000.000000,3450,OPTSTK,NFO,1.000000,181001
130588,IREDA30JUN26132PE,IREDA,30JUN2026,13200.000000,3450,OPTSTK,NFO,1.000000,181001
130593,PERSISTENT28JUL264100PE,PERSISTENT,28JUL2026,410000.000000,125,OPTSTK,NFO,5.000000,5001
130604,IREDA30JUN26144PE,IREDA,30JUN2026,14400.000000,3450,OPTSTK,NFO,1.000000,181001
130613,PERSISTENT28JUL264400PE,PERSISTENT,28JUL2026,440000.000000,125,OPTSTK,NFO,5.000000,5001
130665,NYKAA25AUG26240PE,NYKAA,25AUG2026,24000.000000,3125,OPTSTK,NFO,5.000000,93751
130678,NYKAA25AUG26275CE,NYKAA,25AUG2026,27500.000000,3125,OPTSTK,NFO,5.000000,93751
130708,NYKAA25AUG26295PE,NYKAA,25AUG2026,29500.000000,3125,OPTSTK,NFO,5.000000,93751
130716,PERSISTENT28JUL265000CE,PERSISTENT,28JUL2026,500000.000000,125,OPTSTK,NFO,5.000000,5001
